"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>SVMC</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<body class=\"xr_bgb1\" style=\"background-position: -726px 1824px;\"><div role=\"dialog\" aria-live=\"p...</body>","html > body"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a aria-label=\"learn more about cookies\" role=\"button\" tabindex=\"0\" class=\"cc-link\" href=\"http://cookiesandyou.com\" rel=\"noopener noreferrer nofollow\" target=\"_blank\">Learn more</a>","#cookieconsent:desc > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3","Check that this link's link text contains information indicating that the link will open in a new window.","warning","<a aria-label=\"learn more about cookies\" role=\"button\" tabindex=\"0\" class=\"cc-link\" href=\"http://cookiesandyou.com\" rel=\"noopener noreferrer nofollow\" target=\"_blank\">Learn more</a>","#cookieconsent:desc > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 2.07:1. Recommendation: change background to #396400.","error","<a aria-label=\"dismiss cookie message\" role=\"button\" tabindex=\"0\" class=\"cc-btn cc-dismiss\">Got it!</a>","html > body > div:nth-child(1) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a aria-label=\"dismiss cookie message\" role=\"button\" tabindex=\"0\" class=\"cc-btn cc-dismiss\">Got it!</a>","html > body > div:nth-child(1) > div > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<span class=\"xr_ar\" style=\" left: 0px; width: 100%; height: 30px; top: 0px; position: absolute; background-color: #666666;\"></span>","html > body > div:nth-child(3) > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<span class=\"xr_ar\" style=\" left: 0px; width: 100%; height: 30px; top: 0px; position: absolute; background-color: #666666;\"></span>","html > body > div:nth-child(4) > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<span class=\"xr_ar\" style=\" left: 0px; width: 100%; height: 30px; top: 0px; position: absolute; background-color: #666666;\"></span>","html > body > div:nth-child(5) > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<span class=\"xr_ar\" style=\" left: 0px; width: 100%; height: 30px; top: 0px; position: absolute; background-color: #666666;\"></span>","html > body > div:nth-child(6) > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<span class=\"xr_ar\" style=\" left: 0px; width: 100%; height: 30px; top: 0px; position: absolute; background-color: #666666;\"></span>","html > body > div:nth-child(7) > span"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown","Ensure the functionality provided by mousing down on this element is available through the keyboard; for instance, using the keydown event.","warning","<div id=\"xr_xr\" class=\"xr_noc\" style=\"position: relative; text-align: left; margin: 0px auto; width: 940px; height: 1088px;\" onmousedown=\"xr_mm(event);\">\n<!--<![endif]-->\n<!--[if lt IE...</div>","#xr_xr"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<span class=\"xr_ar\" style=\"left:0px;top:0px;width:1200px;height:1085px; background-color: #FFFFFF;\"></span>","#xr_mvp_1 > div:nth-child(1) > span"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","warning","<div id=\"xr_xrc1\" class=\"xr_ap xr_xri_ xr_xrc\" style=\"width: 1200px; height: 1085px; overflow:hidden;\">\n <span class=\"xr_ar\" style=\"le...</div>","#xr_xrc1"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<span class=\"xr_ar\" style=\"left:20px;top:140px;width:1160px;height:305px; background-color: #E8F3D8;\"></span>","#xr_xrc1 > span:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<span class=\"xr_ar\" style=\"left:20px;top:140px;width:1160px;height:107px; background-color: #8AC53A;\"></span>","#xr_xrc1 > span:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img class=\"xr_rn_ xr_ap\" src=\"index_htm_files/4026.jpg\" alt=\"\" title=\"\" style=\"left:600px;top:140px;width:580px;height:305px;\">","#xr_xrc1 > img:nth-child(5)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"xr_rn_ xr_ap\" src=\"index_htm_files/4026.jpg\" alt=\"\" title=\"\" style=\"left:600px;top:140px;width:580px;height:305px;\">","#xr_xrc1 > img:nth-child(5)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/2224.png\" alt=\"\" title=\"\" style=\"left:962px;top:327px;width:238px;height:143px;\">","#xr_xrc1 > img:nth-child(7)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/2224.png\" alt=\"\" title=\"\" style=\"left:962px;top:327px;width:238px;height:143px;\">","#xr_xrc1 > img:nth-child(7)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<span class=\"xr_ar\" style=\"left:802px;top:528px;width:378px;height:284px; background-color: #FDEAD2;\"></span>","#xr_xrc1 > span:nth-child(9)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","error","<iframe id=\"news1200\" src=\"assets/latestnewsticker.htm\" width=\"348\" height=\"252\" scrolling=\"no\" frameborder=\"0\" marginheight=\"0\" marginwidth=\"0\"></iframe>","#news1200"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"appointments.htm\" onclick=\"return(xr_nn());\">\n  <img class=\"xr_rn_ xr_rnsp_ ...</a>","#xr_xrc1 > a:nth-child(11)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5032.png\" alt=\"Appointments\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:20px;top:528px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(11) > img:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseMove","Ensure the functionality provided by moving the mouse on this element is available through the keyboard.","warning","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5032.png\" alt=\"Appointments\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:20px;top:528px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(11) > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap\" src=\"index_htm_files/5032.png\" alt=\"Appointments\" title=\"\" onmousemove=\"xr_mo(this,0,event)\" style=\"left:20px;top:528px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(11) > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5043.png\" alt=\"Appointments\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:20px;top:528px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(11) > img:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseMove","Ensure the functionality provided by moving the mouse on this element is available through the keyboard.","warning","<img class=\"xr_rn_ xr_rnsp_ xr_ap xr_ro xr_ro0 xr_tt3\" src=\"index_htm_files/5043.png\" alt=\"Appointments\" title=\"\" onmousemove=\"xr_mo(this,0)\" style=\"left:20px;top:528px;width:379px;height:62px;\">","#xr_xrc1 > a:nth-child(11) > img:nth-child(2)"
