"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>HugeDomains.com - WestgateSurge...</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html xmlns=\"http://www.w3.org/1999/xhtml\"><head>\n<meta http-equiv=\"Conten...</html>","html"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<body style=\"background:#fff url(https://static.HugeDomains.com/images/bg.gif) top repeat-x;\"> <div class=\"global\"> <div clas...</body>","html > body"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"stylesheet\" href=\"https://static.HugeDomains.com/css/styles-new.css\">","html > body > div:nth-child(1) > div:nth-child(1) > link:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a href=\"//www.hugedomains.com/index.cfm\"><img alt=\"\" src=\"https://static...</a>","html > body > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div:nth-child(1) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"//www.hugedomains.com/index.cfm\"><img alt=\"\" src=\"https://static...</a>","html > body > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div:nth-child(1) > div > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img alt=\"\" src=\"https://static.HugeDomains.com/images/logo_top.png\" width=\"310\" height=\"35\">","html > body > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div:nth-child(1) > div > a > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.39:1. Recommendation: change text colour to #54595f.","error","<p>Hundreds of thousands of <a hre...</p>","html > body > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div:nth-child(1) > p"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.39:1. Recommendation: change text colour to #54595f.","error","<a href=\"//www.hugedomains.com/index.cfm\">premium domains</a>","html > body > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div:nth-child(1) > p > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"//www.hugedomains.com/index.cfm\">premium domains</a>","html > body > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div:nth-child(1) > p > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.06:1. Recommendation: change text colour to #595959.","error","<p><em>Questions?</em> We're here ...</p>","html > body > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div:nth-child(2) > p"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.16:1. Recommendation: change text colour to #2c57a1.","error","<em>Questions?</em>","html > body > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div:nth-child(2) > p > em"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<b>1-303-893-0552</b>","html > body > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div:nth-child(2) > b"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"stylesheet\" href=\"https://static.HugeDomains.com/css/edition121114.css\">","html > body > div:nth-child(1) > div:nth-child(1) > link:nth-child(5)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 3.03:1. Recommendation: change text colour to #4b8500.","error","<h1>WestgateSurgery.com is for sale</h1>","html > body > div:nth-child(1) > div:nth-child(1) > div:nth-child(6) > h1"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","warning","<span class=\"buy-now-head\">Buy Now: <span class=\"line-stri...</span>","html > body > div:nth-child(1) > div:nth-child(1) > div:nth-child(6) > div:nth-child(2) > span:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","warning","<span class=\"line-strike\" style=\"text-decoration:line-through; \">$2695</span>","html > body > div:nth-child(1) > div:nth-child(1) > div:nth-child(6) > div:nth-child(2) > span:nth-child(1) > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","warning","<span class=\"buy-now-head-red\">SAVE $100 today: $2595</span>","html > body > div:nth-child(1) > div:nth-child(1) > div:nth-child(6) > div:nth-child(2) > span:nth-child(2)"
